Time=0, clk=0, reset=1, synaptic_input=  0, spike_output=0, membrane_potential=  0
Time=5000, clk=1, reset=1, synaptic_input=  0, spike_output=0, membrane_potential=  0
Time=10000, clk=0, reset=0, synaptic_input=  0, spike_output=0, membrane_potential=  0
Time=15000, clk=1, reset=0, synaptic_input=  0, spike_output=0, membrane_potential=  0
Time=20000, clk=0, reset=0, synaptic_input=  0, spike_output=0, membrane_potential=  0
Time=25000, clk=1, reset=0, synaptic_input=  0, spike_output=0, membrane_potential=  0
Time=30000, clk=0, reset=0, synaptic_input=  1, spike_output=0, membrane_potential=  0
Time=35000, clk=1, reset=0, synaptic_input=  1, spike_output=0, membrane_potential=  1
Time=40000, clk=0, reset=0, synaptic_input=  1, spike_output=0, membrane_potential=  1
Time=45000, clk=1, reset=0, synaptic_input=  1, spike_output=0, membrane_potential=  1
Time=50000, clk=0, reset=0, synaptic_input=  3, spike_output=0, membrane_potential=  1
Time=55000, clk=1, reset=0, synaptic_input=  3, spike_output=0, membrane_potential=  3
Time=60000, clk=0, reset=0, synaptic_input=  3, spike_output=0, membrane_potential=  3
Time=65000, clk=1, reset=0, synaptic_input=  3, spike_output=0, membrane_potential=  5
Time=70000, clk=0, reset=0, synaptic_input=  8, spike_output=0, membrane_potential=  5
Time=75000, clk=1, reset=0, synaptic_input=  8, spike_output=0, membrane_potential= 12
Time=80000, clk=0, reset=0, synaptic_input=  8, spike_output=0, membrane_potential= 12
Time=85000, clk=1, reset=0, synaptic_input=  8, spike_output=1, membrane_potential=  0
Time=90000, clk=0, reset=0, synaptic_input= 10, spike_output=1, membrane_potential=  0
Time=95000, clk=1, reset=0, synaptic_input= 10, spike_output=0, membrane_potential= 10
Time=100000, clk=0, reset=0, synaptic_input= 10, spike_output=0, membrane_potential= 10
Time=105000, clk=1, reset=0, synaptic_input= 10, spike_output=1, membrane_potential=  0
Time=110000, clk=0, reset=0, synaptic_input=  0, spike_output=1, membrane_potential=  0
Time=115000, clk=1, reset=0, synaptic_input=  0, spike_output=0, membrane_potential=  0
Time=120000, clk=0, reset=0, synaptic_input=  0, spike_output=0, membrane_potential=  0
Time=125000, clk=1, reset=0, synaptic_input=  0, spike_output=0, membrane_potential=  0
Time=130000, clk=0, reset=0, synaptic_input=  5, spike_output=0, membrane_potential=  0
Time=135000, clk=1, reset=0, synaptic_input=  5, spike_output=0, membrane_potential=  5
Time=140000, clk=0, reset=0, synaptic_input=  5, spike_output=0, membrane_potential=  5
Time=145000, clk=1, reset=0, synaptic_input=  5, spike_output=0, membrane_potential=  9
Time=150000, clk=0, reset=0, synaptic_input=  8, spike_output=0, membrane_potential=  9
Time=155000, clk=1, reset=0, synaptic_input=  8, spike_output=1, membrane_potential=  0
Time=160000, clk=0, reset=0, synaptic_input=  8, spike_output=1, membrane_potential=  0
Time=165000, clk=1, reset=0, synaptic_input=  8, spike_output=0, membrane_potential=  8
Time=170000, clk=0, reset=0, synaptic_input=  0, spike_output=0, membrane_potential=  8
Time=175000, clk=1, reset=0, synaptic_input=  0, spike_output=1, membrane_potential=  0
Time=180000, clk=0, reset=0, synaptic_input=  0, spike_output=1, membrane_potential=  0
Time=185000, clk=1, reset=0, synaptic_input=  0, spike_output=0, membrane_potential=  0
Time=190000, clk=0, reset=0, synaptic_input=  0, spike_output=0, membrane_potential=  0
Time=195000, clk=1, reset=0, synaptic_input=  0, spike_output=0, membrane_potential=  0
Time=200000, clk=0, reset=0, synaptic_input=  0, spike_output=0, membrane_potential=  0
Time=205000, clk=1, reset=0, synaptic_input=  0, spike_output=0, membrane_potential=  0
Time=210000, clk=0, reset=0, synaptic_input=  0, spike_output=0, membrane_potential=  0
Time=215000, clk=1, reset=0, synaptic_input=  0, spike_output=0, membrane_potential=  0
Time=220000, clk=0, reset=0, synaptic_input=  0, spike_output=0, membrane_potential=  0
Time=225000, clk=1, reset=0, synaptic_input=  0, spike_output=0, membrane_potential=  0
Time=230000, clk=0, reset=0, synaptic_input=  0, spike_output=0, membrane_potential=  0
Time=235000, clk=1, reset=0, synaptic_input=  0, spike_output=0, membrane_potential=  0
Time=240000, clk=0, reset=0, synaptic_input=  0, spike_output=0, membrane_potential=  0
Time=245000, clk=1, reset=0, synaptic_input=  0, spike_output=0, membrane_potential=  0
Time=250000, clk=0, reset=0, synaptic_input=  0, spike_output=0, membrane_potential=  0
Time=255000, clk=1, reset=0, synaptic_input=  0, spike_output=0, membrane_potential=  0
Time=260000, clk=0, reset=0, synaptic_input=  0, spike_output=0, membrane_potential=  0
Time=265000, clk=1, reset=0, synaptic_input=  0, spike_output=0, membrane_potential=  0
lif_neuron_tb.v:54: $finish called at 270000 (1ps)
Time=270000, clk=0, reset=0, synaptic_input=  0, spike_output=0, membrane_potential=  0
