net,length_um
_19200_,2533.27
_22519_,2381.54
_19480_,2312.96
_17873_,1978.73
_23181_,1948.83
_22783_,1893.84
_19988_,1866.48
_20898_,1782.84
_18921_,1759.57
_19145_,1748.37
_21197_,1744.66
_21649_,1732.35
_12828_,1727.95
_21147_,1705.92
_20325_,1703.76
_24195_,1700.2
_12883_,1668.59
_24440_,1660.135
net770,1657.74
_19099_,1595.95
_21148_,1585.5
_20868_,1576.35
_21577_,1575.05
_16828_,1573.58
_19146_,1572.63
_24124_,1563.775
_21203_,1561.65
_22498_,1556.89
_23631_,1548.83
_00866_,1548.195
_21761_,1546.31
_19991_,1536
_22520_,1535.42
_21968_,1527.51
_22468_,1513.815
net513,1511.2
_20445_,1507.165
_21643_,1501.32
_20302_,1479.99
_21765_,1476.515
_22171_,1461.06
_24531_,1458.495
_20299_,1452.055
_20899_,1449.67
_18533_,1443.55
_11359_,1442.3
_19990_,1442.19
_20086_,1436.41
_22931_,1434.6
_18539_,1433.34
_20975_,1433.01
_19776_,1429.785
net369,1429.46
_12762_,1426.56
_21633_,1423.74
net458,1420.69
_20311_,1418.315
_20323_,1417.995
_21441_,1417.87
_24593_,1416.76
_23423_,1416.61
_21773_,1414.13
_24125_,1412.3
_24087_,1410.34
_12861_,1407.225
_19115_,1403.69
_23152_,1403.2
_21634_,1402.665
net467,1402.04
_23288_,1398.63
_19854_,1396.615
_23617_,1389.7
_19100_,1384.46
net471,1381.09
_21640_,1380.26
net441,1380.1
_02559_,1375.965
_12223_,1370.97
_19857_,1369.755
net469,1364.2
net463,1352.97
_23286_,1352.86
_19336_,1351.46
_22518_,1351.41
_10644_,1341.09
_23294_,1341
_12740_,1337.64
_11337_,1336.55
_20172_,1334.03
net453,1332.52
net416,1330.15
_19986_,1323.51
_09648_,1323.34
net400,1320.46
_18857_,1319.86
_12157_,1313.79
_23800_,1312.33
_09813_,1307.94
net462,1307.265
net461,1305
_19974_,1304.49
_24530_,1302.11
_23715_,1301.14
net452,1299.47
net383,1296.08
_20789_,1294.85
_10666_,1294.55
_21645_,1291.73
_20833_,1289.06
_19770_,1287.62
net451,1287.19
_22610_,1286.045
net454,1285.24
_19822_,1283.86
_23302_,1282.55
_20027_,1281.8
net385,1280.995
_24322_,1280.41
_19566_,1279.43
_17741_,1277.59
net444,1274.19
_24492_,1273.42
_20275_,1273.135
net438,1270.04
_19116_,1270.02
_21590_,1269.43
net405,1268.235
_20173_,1264.2
_19050_,1263.79
_21620_,1259.64
_22873_,1258.255
_22143_,1256.75
net464,1256.17
_19788_,1255.905
_23475_,1253.325
_23780_,1251.43
net404,1250.8
_23611_,1247.015
_24262_,1245.6
_23371_,1243.45
_19962_,1242.88
_20412_,1240.25
